Tab,ทำแล้ว,Item Code,ตำแหน่ง,Description,Trade Name,Common Name,Route,หน่วยการใช้งาน,Frequency/Rate,Note,Unit,Receipt Category,Alert Min,Alert Max,Formula,Sell Price,Rx Default,Status,Category
ใบเสร็จ,,030000000001,1,ค่าบัตร,ค่าบัตร,ค่าบัตร,,ครั้ง,,,ครั้ง,ค่าบัตร,0,0,A - Unit price,10.00 / ครั้ง,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000081,1,ค่าบริการทางการแพทย์,,,,ครั้ง,,,ครั้ง,ค่าบริการทางการแพทย์,0,0,A - Unit price,100.00 / ครั้ง,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000002,1,ค่าตรวจ,ค่าตรวจ,ค่าตรวจ,,ครั้ง,,,ครั้ง,ค่าตรวจ,0,0,A - Unit price,100.00 / ครั้ง,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000055,1,ค่าตรวจนอกเวลาราชการ,ค่าตรวจนอกเวลาราชการ,ค่าตรวจนอกเวลาราชการ,,ครั้ง,,,ครั้ง,ค่าตรวจ,0.0,0.0,A - Unit price,200.00 / ครั้ง; 200.00 / ครั้ง,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000070,1,ค่าบริการตรวจฉุกเฉิน,,,,บาท,,,บาท,ค่าตรวจ,0.0,0.0,A - Unit price,1.00 / บาท; 1.00 / บาท,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000068,1,ค่าตรวจพิเศษ,ค่าตรวจพิเศษ,ค่าตรวจพิเศษ,,บาท,,,บาท,ค่าตรวจ,0.0,0.0,A - Unit price,1.00 / บาท; 1.00 / บาท,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,080000000022,1,ค่าหัตถการ,ค่าหัตถการ,ค่าหัตถการ,,บาท,,,บาท,ค่าหัตถการ,0,0,A - Unit price,1.00 / บาท,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,080000000024,3,ค่าหัตถการทำแผล,ค่าหัตถการทำแผล,ค่าหัตถการทำแผล,,บาท,,,บาท,ค่าหัตถการ,0,0,A - Unit price,1.00 / บาท,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000065,1,ค่ายาฉีด,ค่ายาฉีด,ค่ายาฉีด,,บาท,,,บาท,ค่ายาฉีด / สารน้ำ,0.0,0.0,A - Unit price,1.00 / บาท,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000056,3,ค่าบริการดมละอองยา (Nebulization) (ดมตู้คิด 1.5 ครั้ง),ค่าบริการดมละอองยา (Nebulization) (ดมตู้คิด 1.5 ครั้ง),ค่าบริการดมละอองยา (Nebulization) (ดมตู้คิด 1.5 ครั้ง),,ครั้ง,,,ครั้ง,ค่าหัตถการ,0.0,0.0,A - Unit price,100.00 / ครั้ง; 100.00 / ครั้ง,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,080000000035,2,ค่าหัตการพ่นยากำจัดเห็บหมัด,ค่าหัตการพ่นยากำจัดเห็บหมัด,ค่าหัตการพ่นยากำจัดเห็บหมัด,,ครั้ง,,,ครั้ง,ค่าหัตถการ,0,0,A - Unit price,100.00 / ครั้ง,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000048,1,ใบส่งตัว,,ใบส่งตัว,,แผ่น,,,แผ่น,ค่าบริการทางการแพทย์,0.0,0.0,A - Unit price,50.00 / แผ่น; 50.00 / แผ่น,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000003,1,ค่ายานำกลับ,ค่ายา,ค่ายา,,บาท,,,บาท,ค่ายานำกลับ,0,0,A - Unit price,1.00 / บาท,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000007,1,ค่าตรวจทางห้องปฏิบัติการ,ค่าตรวจทางห้องปฏิบัติการ,ค่าตรวจทางห้องปฏิบัติการ,,บาท,,,บาท,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,1.00 / บาท,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000005,2,ค่าผ่าตัด,ค่าผ่าตัด,ค่าผ่าตัด,,บาท,,,บาท,ค่าผ่าตัด,0,0,A - Unit price,1.00 / บาท,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000064,1,ค่าวางยาสลบ,ค่าวางยาสลบ,ค่าวางยาสลบ,,บาท,,,บาท,ค่ายาฉีด / สารน้ำ,0.0,0.0,A - Unit price,1.00 / บาท; 1.00 / บาท,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000009,1,อื่นๆ,อื่นๆ,อื่นๆ,,บาท,,,บาท,อื่นๆ,0,0,A - Unit price,1.00 / บาท,ไม่มี,Active,ใบเสร็จ
ใบเสร็จ,,030000000097,1,ค่าปรึกษาอาการ (100),ค่าปรึกษาอาการ,ค่าปรึกษาอาการ,,ครั้ง,,,ครั้ง,ค่าบริการทางการแพทย์,0.0,0.0,A - Unit price,100.00 / ครั้ง,ไม่มี,Active,ใบเสร็จ
XRAY,,030000000067,1,ค่าวินิจฉัยด้วยอัลตร้าซาวด์ (Ultrasound) U/S,ค่าวินิจฉัยด้วยอัลตร้าซาวด์ (Ultrasound) U/S,ค่าอัลตร้าซาวด์,,บาท,,,บาท,ค่าวินิจฉัยด้วยภาพถ่ายรังสี,0.0,0.0,A - Unit price,1.00 / บาท,ไม่มี,Active,X-rays / Ultrasound
XRAY,,030000000096,1,Barium sulphate,Barium sulphate,Barium sulphate,,ซีซี,,,ซีซี,ค่าวินิจฉัยด้วยภาพถ่ายรังสี,0.0,0.0,C - Divide factor price,50.00 / 30,ไม่มี,Active,X-rays / Ultrasound
XRAY,,020000000081,2,Iohexal (Omnipaque 300) (inj.),Omnipaque 300,,,ซีซี,,Dilute with NSS to a total volume of …...cc,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-3 = 100.00; 3.01-4 = 130.00; 4.01-5 = 160.00; 5.01-6 = 190.00; 6.01-7 = 220.00; 7.01-8 = 250.00; 8.01-9 = 280.00,ไม่มี,Active,X-rays / Ultrasound
XRAY,,030000000060,1,ค่าเปิดเครื่อง xray,ค่าเปิดเครื่อง xray,ค่าเปิดเครื่อง xray,,ครั้ง,,,ครั้ง,ค่าวินิจฉัยด้วยภาพถ่ายรังสี,0,0,A - Unit price,120.00 / ครั้ง,ไม่มี,Active,X-rays / Ultrasound
XRAY,,030000000062,1,ค่าวินิจฉัยด้วยภาพถ่ายรังสีต่อฟิล์ม(ไม่รวมค่าเปิดเครื่อง),ค่าวินิจฉัยด้วยภาพถ่ายรังสีต่อฟิล์ม(ไม่รวมค่าเปิดเครื่อง),ค่าวินิจฉัยด้วยภาพถ่ายรังสีต่อฟิล์ม(ไม่รวมค่าเปิดเครื่อง),,ครั้ง,,,ครั้ง,ค่าวินิจฉัยด้วยภาพถ่ายรังสี,0,0,A - Unit price,120.00 / ครั้ง,ไม่มี,Active,X-rays / Ultrasound
XRAY,,030000000059,1,ค่าวินิจฉัยด้วยภาพถ่ายรังสี(ต่อฟิล์ม) x-ray,ค่าวินิจฉัยด้วยภาพถ่ายรังสี(ต่อฟิล์ม) x-ray,ค่าวินิจฉัยด้วยภาพถ่ายรังสี(ต่อฟิล์ม) x-ray,,ครั้ง,,,ครั้ง,ค่าวินิจฉัยด้วยภาพถ่ายรังสี,0,0,B - Range price,0.01-1 = 240.00; 1.01-2 = 360.00; 2.01-3 = 480.00; 3.01-4 = 600.00; 4.01-5 = 720.00; 5.01-6 = 840.00,ไม่มี,Active,X-rays / Ultrasound
XRAY,,030000000061,1,ค่าวินิจฉัยด้วยภาพถ่ายรังสี Xray : series (<6 ฟิล์ม),ค่าวินิจฉัยด้วยภาพถ่ายรังสี Xray : series (<6 ฟิล์ม),ค่าวินิจฉัยด้วยภาพถ่ายรังสี Xray : series (<6 ฟิล์ม),,ครั้ง,,,ครั้ง,ค่าวินิจฉัยด้วยภาพถ่ายรังสี,0,0,A - Unit price,"1,000.00 / ครั้ง",ไม่มี,Active,X-rays / Ultrasound
XRAY,,030000000063,1,ค่าวินิจฉัยด้วยภาพถ่ายรังสี Xray : series (>6 ฟิล์ม),ค่าวินิจฉัยด้วยภาพถ่ายรังสี Xray : series (>6 ฟิล์ม),ค่าวินิจฉัยด้วยภาพถ่ายรังสี Xray : series (>6 ฟิล์ม),,ครั้ง,,,ครั้ง,ค่าวินิจฉัยด้วยภาพถ่ายรังสี,0,0,A - Unit price,"1,500.00 / ครั้ง",ไม่มี,Active,X-rays / Ultrasound
XRAY,,050000000164,1,CD x-ray/DVD สำหรับเก็บภาพเอ็กซ์เรย์,CD/DVD สำหรับเก็บภาพเอ็กซ์เรย์,CD x-ray,,แผ่น,,,แผ่น,ค่าบริการทางการแพทย์,0.0,0.0,A - Unit price,50.00 / แผ่น; 50.00 / แผ่น,ไม่มี,Active,X-rays / Ultrasound
น้ำเกลือ,,050000000034,1,จุกปิดน้ำเกลือ (injection plug/heparin plug),injection plug,injection plug,,อัน,,,อัน,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,30.00 / อัน; 30.00 / อัน,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000037,1,เข็มให้น้ำเกลือ เบอร์ 24 (เหลือง) IV catheter No.24,IV catheter No.24,IV catheter No.24 (เหลือง),,อัน,,,อัน,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,50.00 / อัน; 50.00 / อัน,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000038,1,เข็มให้น้ำเกลือ เบอร์ 22 (ฟ้า) IV catheter No.22,IV catheter No.22,IV catheter No.22 (ฟ้า),,อัน,,,อัน,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,50.00 / อัน; 50.00 / อัน,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000035,1,ปลั๊ก 3 ทาง (3 way valve),3 way valve,3 way valve,,อัน,,,อัน,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,50.00 / อัน; 50.00 / อัน,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000001,1,"สายต่อน้ำเกลือ 6 นิ้ว (Extension 6"")","Extension 6""","Extension 6""",,อัน,,,อัน,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,15.00 / อัน; 15.00 / อัน,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000136,1,Normal Saline 0.9% 100 ml (NSS ขวดละ 100 ml),NSS 100 ml,NSS 100 ml,IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,100.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000137,1,Normal Saline 0.9% 500 ml (NSS ขวดละ 500 ml),NSS 500 ml,NSS 500 ml,IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,120.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000138,1,Normal Saline 0.9% 1000 ml (NSS ขวดละ 1000 ml),NSS 1000 ml,NSS 1000 ml,IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,150.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000141,1,Acetated Ringer's 500 ml (Acetar 500 ml)*ใช้ในห้องตรวจ**,R-Cetate 500 ml,R-Cetate 500 ml,IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,120.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000142,1,Acetated Ringer's 1000 ml (R-Cetate 1000 ml) (Acetar 1000 ml),R-Cetate 1000 ml,R-Cetate 1000 ml,IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,150.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000131,1,Dextrose 5% in 1/2 Str.Saline 1000 ml (D 5 1/2 s 1000 ml),D 5 1/2 s 1000 ml,D 5 1/2 s 1000 ml,IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,150.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000146,1,Dextrose 5% in Acetated Ringer's 1000 ml  (Acetar-5 1000 ml),R-Cetate-5 1000 ml (Actear -5),R-Cetate-5 1000 ml (Actear -5),IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,150.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,080000000025,1,ค่าบริการให้น้ำเกลือ s/c,ค่าบริการให้น้ำเกลือ s/c,ค่าบริการให้น้ำเกลือ s/c,,ครั้ง,,,ครั้ง,ค่าหัตถการ,0,0,A - Unit price,50.00 / ครั้ง,ไม่มี,Active,น้ำเกลือ IV / SC
