Item Code(รหัส),Description(ชื่อยา/บริการ),Trade Name(ชื่อการค้า),Common Name(ชื่อใช้เรียกบ่อย),Unit(หน่วยนับ),Receipt Category(หมวดใบเสร็จ),Alert Min,Alert Max,Formula,Sell Price(ราคาขาย),Rx Default,Status
'000000000002,Enrofloxacin 15 mg (Baytril 15 mg),Baytril 15 mg,Baytril 15 mg(ยาปฏิชีวนะ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,25.00 / เม็ด,มี,Active
'000000000005,Amoxicillin 250 mg *Capsule*,Amoxicillin 250 mg,Amoxicillin 250 mg (ปฏิชีวนะ),แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,5.00 / แคปซูล,มี,Active
'000000000008,(TEST)TEST10mg(TEST 10)(inj.)(ml),TEST 10 บ. ทดสอบ,TEST 10mg ยาทดสอบระบบ,Test,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-1 = 100.00; 1.01-2 = 150.00; 2.01-10 = 500.00,ไม่มี,Active
'000000000009,fenbendazole 200mg/ml,fenbendazole 200mg/ml ยาถ่ายพยาธิ/โปรโตซัว,fenbendazole 200mg/ml  ยาถ่ายพยาธิ/โปรโตซัว,ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-10 = 250.00; 10.01-20 = 450.00; 20.01-30 = 650.00,ไม่มี,Active
'000000000010,fenbendazole *-*ป้อนที่รพส*-*,Panacur,fenbendazole (Panacur) ยาถ่ายพยาธิ/โปรโตซัว,ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-1 = 50.00; 1.01-2 = 100.00; 2.01-3 = 150.00,ไม่มี,Active
'000000000012,Tolfedine (Tolfedine 60 mg),Tolfedine (Tolfedine 60 mg),Tolfedine (Tolfedine 60 mg)  ลดไข้ ลดอักเสบ,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,30.00 / เม็ด,มี,Active
'000000000015,Vcheck Cortisol,Vcheck Cortisol,Vcheck Cortisol,Test,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,800.00 / Test,ไม่มี,Active
'000000000016,samylin small breed S (ซอง),samylin small breed S (ซอง),samylin small breed S (แบบซอง),ซอง,ค่ายานำกลับ,0,0,A - Unit price,70.00 / ซอง,มี,Active
'000000000017,TEP-Plus Spray 30 ml,TEP-Plus Spray 30 ml,TEP-Plus Spray 30 ml (น้ำยาฆ่าเชื้อ),ขวด,ค่ายานำกลับ,0,0,A - Unit price,200.00 / ขวด,มี,Active
'000000000018,A:G,Albumin : Globulin ratio,A:G,ครั้ง,ค่าตรวจทางห้องปฎิบัติการ,0.0,0.0,A - Unit price,100.00 / ครั้ง,ไม่มี,Active
'000000000019,cerenia (maropitant 10mg/mL),cerenia (maropitant 10mg/mL),cerenia (maropitant 10mg/mL),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,"0.01-0.3 = 150.00; 0.31-0.5 = 200.00; 0.51-0.8 = 275.00; 0.81-1 = 350.00; 1.01-1.5 = 525.00; 1.51-2 = 700.00; 2.01-2.5 = 875.00; 2.51-3 = 1,050.00; 3.01-3.5 = 1,225.00; 3.51-4 = 1,400.00; 4.01-4.5 = 1,575.00; 4.51-5 = 1,750.00",ไม่มี,Active
'000000000020,Total T4 (Feline),Total T4 (Feline),Total T4 (Feline),ตัวอย่าง,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,850.00 / ตัวอย่าง,ไม่มี,Active
'000000000021,เพาะเชื้อแบคทีเรีย (Anaerobic) และทดสอบความไวต่อยาปฏิชีวนะ (Bacterial Culture and Drug Sensitivity),เพาะเชื้อแบคทีเรีย (Anaerobic) และทดสอบความไวต่อยาปฏิชีวนะ (Bacterial Culture and Drug Sensitivity),เพาะเชื้อแบคทีเรีย (Anaerobic) และทดสอบความไวต่อยาปฏิชีวนะ (Bacterial Culture and Drug Sensitivity),ครั้ง,ค่าตรวจทางห้องปฎิบัติการ,0.0,0.0,A - Unit price,"1,000.00 / ครั้ง; 1,000.00 / ครั้ง",ไม่มี,Active
'000000000022,Amoxicillin 50 mg + Clavulanic 12.5 mg (AMC 62.5),Amoxicillin 50 mg + Clavulanic 12.5 mg (AMC 62.5),(Amoxi50 mg + Clav12.5 mg) /ปฏิชีวนะ**AMC 62.5**,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,10.00 / เม็ด,มี,Active
'000000000023,Florgut (Probiotics+Prebiotics),Florgut (Probiotics+Prebiotics),Florgut (ปรับสมดุลลำไส้),แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,15.00 / แคปซูล,มี,Active
'000000000024,Cytopoint 40 mg/ml (lokivetmabi),Cytopoint,Cytopoint,ขวด,ค่ายาฉีด / สารน้ำ,0.0,0.0,B - Range price,"0.01-0.25 = 2,000.00; 0.26-0.5 = 2,500.00; 0.51-0.75 = 3,500.00; 0.76-1 = 4,000.00",ไม่มี,Active
'000000000025,Cotton swab (sterile),Cotton swab (sterile),Cotton swab (sterile),ชิ้น,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,5.00 / ชิ้น; 5.00 / ชิ้น,ไม่มี,Active
'000000000026,Bone pin,Bone pin,Bone pin,อัน,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,300.00 / อัน; 300.00 / อัน,ไม่มี,Active
