Item Code,Base Code,Tag,Route,Dose,Frequency,Note
000000000019,,ยาฉีด,SC,,,
000000000024,,ยาฉีด,SC,,,
000000000026,,วัสดุผ่าตัด,,,,
010000000001,,ยาฉีด,SC,,,
010000000142,,ยาฉีด,SC / PO,,,
010000000184,,วัคซีน,PO,,,
010000000303,,ยาฉีด,IV,,,
010000000306,,ยาฉีด,SC,,,
010000000315,,ยาฉีด,SC,,,
020000000002,,ยาฉีด,IV,,,
020000000002-1,020000000002,ผ่าตัด,IV,,q90min,
020000000003,,ยาฉีด,IV,,,
020000000006,,ยาฉีด,SC,,,
020000000010,,ยาฉีด,SC,,,
020000000011,,ยาฉีด,IV /CRI,,Rate    ml/hr,
020000000014,,ยาฉีด,IV,,,
020000000015,,ยาฉีด,IM,,,
020000000016,,ยาฉีด,SC,,,
020000000017,,ยาฉีด,IM,,,
020000000018,,ยาฉีด,SC,,,
020000000019,,ยาฉีด,SC,,,
020000000020,,ยาฉีด,IM,,,
020000000021,,ยาฉีด,IM,,,
020000000021-1,020000000021,ผ่าตัด,IM,,,ทำให้คลื่นไส้อาเจียนได้
020000000022,,ยาฉีด,IM,,,
020000000023,,ยาฉีด,IV,,,
020000000024,,ยาฉีด,IM,,,
020000000026,,ยาฉีด,IV,,,
020000000027,,ยาฉุกเฉิน,IV,,dilute iv,
020000000028,,ยาฉีด,IV,,,
020000000029,,ยาฉุกเฉิน,IV,,dilute iv,
020000000031,,ยาฉุกเฉิน,slow IV,,,
020000000033,,ยาฉีด,IM,,,
020000000034,,ผ่าตัด,IV/PR,,,
020000000034-1,020000000034,ยาฉุกเฉิน,IV,,per rectum,
020000000036,,ยาฉีด,IV,,,
020000000038,,ยาฉีด,IV slow,,,
020000000038-1,020000000038,ยาฉุกเฉิน,IV,,,
020000000039,,ยาฉีด,IV,,,
020000000040,,ยาฉีด,IV,,,
020000000041,,วัคซีน,SC,,,
020000000042,,ยาฉีด,SC,,,
020000000044,,ยาฉีด,IV,,,
020000000045,,ยาฉีด,SC,,,
020000000047,,ยาฉีด,IV,,,
020000000050,,ยาฉุกเฉิน,CRI,,PO,
020000000052,,ยาฉุกเฉิน,slow IV,,ผสมในน้ำเกลือ drip iv,
020000000054,,ยาฉีด,IV,,,
020000000055,,ยาฉีด,IV slow,,,
020000000055-1,020000000055,ยาฉุกเฉิน,IV,,,
020000000057,,น้ำเกลือ,SC,,,
020000000058,,น้ำเกลือ,SC,,,
020000000059,,ยาฉีด,IV,,,
020000000061,,ยาฉีด,SC,,,
020000000062,,ยาฉีด,IM,,,
020000000065,,ผ่าตัด,,,,อาจเกิด hypotension
020000000066,,ยาฉีด,IM,,,
020000000067,,ผ่าตัด,IH,,,
020000000068,,ผ่าตัด,IM,,dilute IV,ทำให้ seizure threshould ลดลง
020000000069,,ผ่าตัด|ยาฉุกเฉิน,IV,,,
020000000070,,ผ่าตัด,regional,,,
020000000074,,ยาฉีด,IM / SC,,,
020000000077,,ผ่าตัด,IM,,dilute IV,
020000000079,,ยาฉีด,IM /SC,,,
020000000081,,XRAY,Dilute with NSS to a total volume of …...cc,,,
020000000081-1,020000000081,ยาฉีด,,,Dilute with NSS to a total volume of …...cc,
020000000091,,วัคซีน,SC,,,
020000000092,,วัคซีน,SC,,,
020000000094,,วัคซีน,SC,,,
020000000095,,วัคซีน,SC,,,
020000000100,,ยาฉีด,Nebulized,,Dilute with NSS to a total volume of 20cc,
020000000101,,ยาฉีด,IM,,,
020000000102,,ยาฉีด,SC,,,
020000000105,,ยาฉีด,IV,,,
020000000105-1,020000000105,ผ่าตัด,IV,,q2h,
020000000106,,ยาฉีด,IM,,,
020000000107,,ผ่าตัด,IM,,,ทำให้คลื่นไส้อาเจียนได้
020000000108,,น้ำเกลือ,SC,,,
020000000109,,น้ำเกลือ,SC,,,
020000000110,,ยาฉีด,IV,,,
020000000111,,ยาฉีด,IV,,,
020000000112,,ยาฉุกเฉิน,slow IV,,ผสมในน้ำเกลือ drip iv,
020000000113,,ยาฉุกเฉิน,slow IV,,ผสมในน้ำเกลือ drip iv,
020000000114,,ยาฉีด,IV,,dilute IV,
020000000115,,ยาฉีด,IM,,,
020000000116,,ยาฉีด,slow IV/IM,,,
020000000117,,ยาฉีด,SC,,,
020000000118,,ผ่าตัด,epidural/regional,,,อาจเกิด hypotension
020000000124,,ผ่าตัด,,,,
020000000125,,ผ่าตัด,,,,
020000000126,,ยาฉีด,SC,,,
020000000127,,ยาฉีด,SC,,,
020000000129,,ยาฉีด,IM,,dilute IV,
020000000130,,ยาฉีด,IM,,,
020000000131,,ยาฉีด,IV,,,
020000000134,,ยาฉีด,IM,,,
020000000136,,ยาฉีด,PO,,,
020000000141,,ยาฉีด,IM,,,
020000000141-1,020000000141,ผ่าตัด,IM,,IV,
020000000143,,ยาฉีด,SC,,,
020000000151,,ยาฉีด,SC,,,
020000000152,,ผ่าตัด,IV,,,
020000000153,,ผ่าตัด,IH,,,
020000000154,,ยาฉีด,SC,,,
020000000155,,ยาฉีด,SC,,,
020000000158,,ยาฉีด,IV,,,
020000000160,,ยาฉีด,IV,,,
020000000161,,ยาฉีด,IV CRI,,Rate    ml/hr,
030000000001,,ใบเสร็จ,,,,
030000000002,,ใบเสร็จ,,,,
030000000003,,ใบเสร็จ,,,,
030000000005,,ใบเสร็จ|ผ่าตัด,,,,
030000000006,,สัตว์ป่วยใน,,,,
030000000007,,ใบเสร็จ,,,,
030000000008,,สัตว์ป่วยใน,,,,
030000000009,,ใบเสร็จ,,,,
030000000011,,ทำในห้อง,,,,
030000000012,,ทำในห้อง,,,,
030000000013,,ทำในห้อง,,,,
030000000014,,ทำในห้อง|หัตถการอื่นๆ,,,,
030000000015,,หัตถการอื่นๆ,,,,
030000000016,,หัตถการอื่นๆ,,,,
030000000017,,ยาฉุกเฉิน|สัตว์ป่วยใน,,,,
030000000018,,ยาฉุกเฉิน|สัตว์ป่วยใน,,,,
030000000019,,น้ำเกลือ,,,,
030000000020,,หัตถการอื่นๆ,,,,
030000000021,,ยาฉุกเฉิน,,,,
030000000023,,ยาฉุกเฉิน,,,,
030000000026,,น้ำเกลือ,,,,
030000000028,,สัตว์ป่วยใน,,,,
030000000029,,สัตว์ป่วยใน,,,,
030000000048,,ใบเสร็จ,,,,
030000000050,,ทำในห้อง,,,,
030000000051,,ทำในห้อง,,,,
030000000053,,ทำในห้อง,,,,
030000000054,,ทำในห้อง,,,,
030000000055,,ใบเสร็จ,,,,
030000000056,,ใบเสร็จ|ทำในห้อง|หัตถการอื่นๆ,,,,
030000000058,,หัตถการอื่นๆ,,,,
030000000059,,XRAY,,,,
030000000060,,XRAY,,,,
030000000061,,XRAY,,,,
030000000062,,XRAY,,,,
030000000063,,XRAY,,,,
030000000064,,ใบเสร็จ,,,,
030000000065,,ใบเสร็จ,,,,
030000000067,,XRAY,,,,
030000000068,,ใบเสร็จ,,,,
030000000070,,ใบเสร็จ,,,,
030000000072,,ทำในห้อง,,,,
030000000073,,ทำในห้อง,,,,
030000000076,,ผ่าตัด,,,,
030000000077,,ทำในห้อง,,,,
030000000078,,ทำในห้อง,,,,
030000000079,,ผ่าตัด,,,,
030000000080,,สัตว์ใหญ่,,,,
030000000081,,ใบเสร็จ,,,,
030000000082,,ผ่าตัด,,,,
030000000083,,ยาฉุกเฉิน|สัตว์ป่วยใน,,,,
030000000084,,ผ่าตัด,,,,
030000000086,,สัตว์ใหญ่,,,,
030000000089,,วัสดุผ่าตัด,,,,
030000000090,,หัตถการอื่นๆ|สัตว์ป่วยใน,,,,
030000000091,,หัตถการอื่นๆ|สัตว์ป่วยใน,,,,
030000000092,,วัสดุผ่าตัด,,,,
030000000094,,น้ำเกลือ|สัตว์ป่วยใน,,,,
030000000096,,XRAY,,,,
030000000097,,ใบเสร็จ,,,,
040000000093,,ทำแผล,,,,
040000000094,,ทำแผล,,,,
040000000167,,ทำแผล,,,,
040000000170,,ทำแผล,,,,
040000000171,,ทำแผล,,,,
040000000173,,ทำในห้อง,,,,
040000000174,,ทำในห้อง,,,,
040000000175,,ทำในห้อง,,,,
040000000176,,ทำในห้อง,,,,
040000000177,,ทำในห้อง,,,,
040000000178,,ทำในห้อง,,,,
040000000179,,ทำในห้อง,,,,
050000000001,,น้ำเกลือ,,,,
050000000004,,วัสดุผ่าตัด|สัตว์ป่วยใน,,,,
050000000005,,วัสดุผ่าตัด|สัตว์ป่วยใน,,,,
050000000006,,วัสดุผ่าตัด|สัตว์ป่วยใน,,,,
050000000007,,วัสดุผ่าตัด|สัตว์ป่วยใน,,,,
050000000008,,วัสดุผ่าตัด|สัตว์ป่วยใน,,,,
050000000009,,วัสดุผ่าตัด|สัตว์ป่วยใน,,,,
050000000010,,วัสดุผ่าตัด|สัตว์ป่วยใน,,,,
050000000011,,ทำแผล,,,,
050000000020,,ผ่าตัด,,,,
050000000034,,น้ำเกลือ,,,,
050000000035,,น้ำเกลือ,,,,
050000000037,,น้ำเกลือ,,,,
050000000038,,น้ำเกลือ,,,,
050000000042,,ทำแผล,,,,
050000000048,,ทำแผล,,,,
050000000050,,สัตว์ป่วยใน,,,,
050000000051,,สัตว์ป่วยใน,,,,
050000000052,,วัสดุผ่าตัด,,,,
050000000053,,วัสดุผ่าตัด,,,,
050000000054,,วัสดุผ่าตัด,,,,
050000000055,,วัสดุผ่าตัด,,,,
050000000058,,ทำแผล,,,,
050000000059,,ทำแผล,,,,
050000000060,,ทำแผล,,,,
050000000070,,ทำแผล,,,,
050000000073,,ทำแผล,,,,
050000000083,,วัสดุผ่าตัด,,,,
050000000088,,วัสดุผ่าตัด,,,,
050000000089,,วัสดุผ่าตัด,,,,
050000000090,,วัสดุผ่าตัด,,,,
050000000091,,วัสดุผ่าตัด,,,,
050000000099,,วัสดุผ่าตัด,,,,
050000000100,,วัสดุผ่าตัด,,,,
050000000103,,วัสดุผ่าตัด,,,,
050000000104,,วัสดุผ่าตัด,,,,
050000000105,,วัสดุผ่าตัด,,,,
050000000108,,วัสดุผ่าตัด,,,,
050000000131,,น้ำเกลือ,IV,,Rate    ml/hr,
050000000132,,วัสดุผ่าตัด,,,,
050000000133,,น้ำเกลือ,IV,,Rate    ml/hr,
050000000136,,น้ำเกลือ,IV,,Rate    ml/hr,
050000000137,,น้ำเกลือ,IV,,Rate    ml/hr,
050000000138,,น้ำเกลือ,IV,,Rate    ml/hr,
050000000141,,น้ำเกลือ,IV,,Rate    ml/hr,
050000000142,,น้ำเกลือ,IV,,Rate    ml/hr,
050000000146,,น้ำเกลือ,IV,,Rate    ml/hr,
050000000147,,วัสดุผ่าตัด|ทำแผล|หัตถการอื่นๆ,,,,
050000000150,,วัสดุผ่าตัด,,,,
050000000157,,น้ำเกลือ,SC,,,
050000000158,,น้ำเกลือ,SC,,,
050000000159,,น้ำเกลือ,SC,,,
050000000163,,หัตถการอื่นๆ,,,,
050000000164,,XRAY,,,,
050000000165,,สัตว์ป่วยใน,,,,
050000000167,,น้ำเกลือ,IV,,Rate    ml/hr,
050000000170,,วัสดุผ่าตัด|ทำแผล,,,,
050000000171,,ยาฉีด,IV,,,
050000000177,,วัสดุผ่าตัด,,,,
050000000178,,วัสดุผ่าตัด,,,,
050000000187,,วัสดุผ่าตัด,,,,
050000000188,,วัสดุผ่าตัด,,,,
050000000189,,วัสดุผ่าตัด,,,,
050000000190,,วัสดุผ่าตัด,,,,
050000000191,,วัสดุผ่าตัด,,,,
050000000192,,วัสดุผ่าตัด,,,,
050000000193,,วัสดุผ่าตัด,,,,
050000000194,,วัสดุผ่าตัด,,,,
050000000195,,วัสดุผ่าตัด,,,,
050000000196,,วัสดุผ่าตัด,,,,
050000000197,,วัสดุผ่าตัด,,,,
050000000205,,วัสดุผ่าตัด,,,,
050000000206,,วัสดุผ่าตัด,,,,
050000000207,,วัสดุผ่าตัด,,,,
050000000208,,วัสดุผ่าตัด,,,,
050000000211,,วัสดุผ่าตัด,,,,
050000000212,,วัสดุผ่าตัด,,,,
050000000213,,วัสดุผ่าตัด,,,,
050000000216,,วัสดุผ่าตัด,,,,
050000000217,,วัสดุผ่าตัด,,,,
050000000220,,วัสดุผ่าตัด,,,,
050000000221,,วัสดุผ่าตัด,,,,
050000000223,,วัสดุผ่าตัด,,,,
050000000224,,วัสดุผ่าตัด,,,,
050000000225,,วัสดุผ่าตัด,,,,
060000000077,,หัตถการอื่นๆ,,,,
060000000079,,หัตถการอื่นๆ,,,,
080000000002,,หัตถการอื่นๆ,,,,
080000000004,,หัตถการอื่นๆ|สัตว์ป่วยใน,,,,
080000000005,,ทำแผล,,,,
080000000006,,หัตถการอื่นๆ,,,,
080000000008,,ทำแผล,,,,
080000000011,,หัตถการอื่นๆ,,,,
080000000012,,หัตถการอื่นๆ,,,,
080000000013,,หัตถการอื่นๆ,,,,
080000000014,,หัตถการอื่นๆ|สัตว์ป่วยใน,,,,
080000000015,,สัตว์ป่วยใน,,,,
080000000016,,ทำในห้อง|หัตถการอื่นๆ,,,,
080000000017,,ทำในห้อง|หัตถการอื่นๆ,,,,
080000000018,,หัตถการอื่นๆ,,,,
080000000019,,หัตถการอื่นๆ,,,,
080000000020,,หัตถการอื่นๆ,,,,
080000000022,,ใบเสร็จ,,,,
080000000023,,หัตถการอื่นๆ,,,,
080000000024,,ใบเสร็จ|ทำแผล|สัตว์ป่วยใน,,,,
080000000025,,น้ำเกลือ,,,,
080000000026,,หัตถการอื่นๆ,,,,
080000000029,,หัตถการอื่นๆ|สัตว์ป่วยใน,,,,
080000000030,,ทำในห้อง|หัตถการอื่นๆ|สัตว์ป่วยใน,,,,
080000000032,,ทำในห้อง,,,,
080000000035,,ใบเสร็จ|หัตถการอื่นๆ,,,,
080000000036,,หัตถการอื่นๆ,,,,
080000000037,,ทำในห้อง,,,,
090000000030,,สัตว์ป่วยใน,,,,
090000000034,,สัตว์ป่วยใน,,,,
090000000035,,สัตว์ป่วยใน,,,,
100000000002,,สัตว์ป่วยใน,,,,
980000000002,,สัตว์ใหญ่,,,,
980000000003,,สัตว์ใหญ่,,,,
980000000004,,สัตว์ใหญ่,,,,
990000000001,,อื่นๆ,,,,
990000000002,,อื่นๆ,,,,
990000000003,,อื่นๆ,,,,
990000000004,,อื่นๆ,,,,
990000000005,,อื่นๆ,,,,
990000000007,,สัตว์ใหญ่,,,,
